601 121 1
0 0 70 	 0 0 -1.8626
0 0 71 	 0 0 -1.85815
0 0 72 	 0 0 -1.8537
0 0 73 	 0 0 -1.8492
0 0 74 	 0 0 -1.8447
0 0 75 	 0 0 -1.84
0 0 76 	 0 0 -1.8353
0 0 77 	 0 0 -1.8305
0 0 78 	 0 0 -1.8257
0 0 79 	 0 0 -1.82085
0 0 80 	 0 0 -1.816
0 0 81 	 0 0 -1.81095
0 0 82 	 0 0 -1.8059
0 0 83 	 0 0 -1.80065
0 0 84 	 0 0 -1.7954
0 0 85 	 0 0 -1.79005
0 0 86 	 0 0 -1.7847
0 0 87 	 0 0 -1.7793
0 0 88 	 0 0 -1.7739
0 0 89 	 0 0 -1.7683
0 0 90 	 0 0 -1.7627
0 0 91 	 0 0 -1.7571
0 0 92 	 0 0 -1.7515
0 0 93 	 0 0 -1.74575
0 0 94 	 0 0 -1.74
0 0 95 	 0 0 -1.7341
0 0 96 	 0 0 -1.7282
0 0 97 	 0 0 -1.7221
0 0 98 	 0 0 -1.716
0 0 99 	 0 0 -1.7099
0 0 100 	 0 0 -1.7038
0 0 101 	 0 0 -1.69765
0 0 102 	 0 0 -1.6915
0 0 103 	 0 0 -1.685
0 0 104 	 0 0 -1.6785
0 0 105 	 0 0 -1.67195
0 0 106 	 0 0 -1.6654
0 0 107 	 0 0 -1.6589
0 0 108 	 0 0 -1.6524
0 0 109 	 0 0 -1.64565
0 0 110 	 0 0 -1.6389
0 0 111 	 0 0 -1.63205
0 0 112 	 0 0 -1.6252
0 0 113 	 0 0 -1.6183
0 0 114 	 0 0 -1.6114
0 0 115 	 0 0 -1.60445
0 0 116 	 0 0 -1.5975
0 0 117 	 0 0 -1.5903
0 0 118 	 0 0 -1.5831
0 0 119 	 0 0 -1.57585
0 0 120 	 0 0 -1.5686
0 0 121 	 0 0 -1.56135
0 0 122 	 0 0 -1.5541
0 0 123 	 0 0 -1.54665
0 0 124 	 0 0 -1.5392
0 0 125 	 0 0 -1.5316
0 0 126 	 0 0 -1.524
0 0 127 	 0 0 -1.516
0 0 128 	 0 0 -1.5089
0 0 129 	 0 0 -1.50079
0 0 130 	 0 0 -1.4936
0 0 131 	 0 0 -1.48575
0 0 132 	 0 0 -1.4779
0 0 133 	 0 0 -1.46958
0 0 134 	 0 0 -1.4622
0 0 135 	 0 0 -1.45383
0 0 136 	 0 0 -1.4464
0 0 137 	 0 0 -1.43792
0 0 138 	 0 0 -1.4304
0 0 139 	 0 0 -1.4223
0 0 140 	 0 0 -1.4142
0 0 141 	 0 0 -1.40556
0 0 142 	 0 0 -1.3979
0 0 143 	 0 0 -1.38926
0 0 144 	 0 0 -1.3816
0 0 145 	 0 0 -1.3728
0 0 146 	 0 0 -1.365
0 0 147 	 0 0 -1.3562
0 0 148 	 0 0 -1.3484
0 0 149 	 0 0 -1.3401
0 0 150 	 0 0 -1.3318
0 0 151 	 0 0 -1.32335
0 0 152 	 0 0 -1.3149
0 0 153 	 0 0 -1.30594
0 0 154 	 0 0 -1.298
0 0 155 	 0 0 -1.28904
0 0 156 	 0 0 -1.2811
0 0 157 	 0 0 -1.2726
0 0 158 	 0 0 -1.2641
0 0 159 	 0 0 -1.25504
0 0 160 	 0 0 -1.247
0 0 161 	 0 0 -1.23794
0 0 162 	 0 0 -1.2299
0 0 163 	 0 0 -1.22084
0 0 164 	 0 0 -1.2128
0 0 165 	 0 0 -1.20425
0 0 166 	 0 0 -1.1957
0 0 167 	 0 0 -1.1871
0 0 168 	 0 0 -1.1785
0 0 169 	 0 0 -1.1699
0 0 170 	 0 0 -1.1613
0 0 171 	 0 0 -1.15224
0 0 172 	 0 0 -1.1442
0 0 173 	 0 0 -1.1356
0 0 174 	 0 0 -1.127
0 0 175 	 0 0 -1.11794
0 0 176 	 0 0 -1.1099
0 0 177 	 0 0 -1.10084
0 0 178 	 0 0 -1.0928
0 0 179 	 0 0 -1.08379
0 0 180 	 0 0 -1.0758
0 0 181 	 0 0 -1.06679
0 0 182 	 0 0 -1.0588
0 0 183 	 0 0 -1.05035
0 0 184 	 0 0 -1.0419
0 0 185 	 0 0 -1.03345
0 0 186 	 0 0 -1.025
0 0 187 	 0 0 -1.01665
0 0 188 	 0 0 -1.0083
0 0 189 	 0 0 -0.999449
0 0 190 	 0 0 -0.9916
0 0 191 	 0 0 -0.9833
0 0 192 	 0 0 -0.975
0 0 193 	 0 0 -0.966308
0 0 194 	 0 0 -0.9586
0 0 195 	 0 0 -0.95045
0 0 196 	 0 0 -0.9423
0 0 197 	 0 0 -0.93415
0 0 198 	 0 0 -0.926
0 0 199 	 0 0 -0.9179
0 0 200 	 0 0 -0.9098
0 0 201 	 0 0 -0.90185
0 0 202 	 0 0 -0.8939
0 0 203 	 0 0 -0.885526
0 0 204 	 0 0 -0.8781
0 0 205 	 0 0 -0.8702
0 0 206 	 0 0 -0.8623
0 0 207 	 0 0 -0.85455
0 0 208 	 0 0 -0.8468
0 0 209 	 0 0 -0.83915
0 0 210 	 0 0 -0.8315
0 0 211 	 0 0 -0.8239
0 0 212 	 0 0 -0.8163
0 0 213 	 0 0 -0.808244
0 0 214 	 0 0 -0.8011
0 0 215 	 0 0 -0.79375
0 0 216 	 0 0 -0.7864
0 0 217 	 0 0 -0.778609
0 0 218 	 0 0 -0.7717
0 0 219 	 0 0 -0.76445
0 0 220 	 0 0 -0.7572
0 0 221 	 0 0 -0.75005
0 0 222 	 0 0 -0.7429
0 0 223 	 0 0 -0.735427
0 0 224 	 0 0 -0.7288
0 0 225 	 0 0 -0.7218
0 0 226 	 0 0 -0.7148
0 0 227 	 0 0 -0.7079
0 0 228 	 0 0 -0.701
0 0 229 	 0 0 -0.693898
0 0 230 	 0 0 -0.6876
