601 121 1
0 1 -157 	 0 0.0035 -1.14455
0 1 -156 	 0 0.0035 -1.1516
0 1 -155 	 0 0.0034 -1.15855
0 1 -154 	 0 0.0034 -1.16545
0 1 -153 	 0 0.0034 -1.1723
0 1 -152 	 0 0.0034 -1.1792
0 1 -151 	 0 0.0034 -1.18605
0 1 -150 	 0 0.00345 -1.1929
0 1 -149 	 0 0.00345 -1.19975
0 1 -148 	 0 0.00335 -1.20655
0 1 -147 	 0 0.0033 -1.2133
0 1 -146 	 0 0.0033 -1.22
0 1 -145 	 0 0.0033 -1.22665
0 1 -144 	 0 0.0033 -1.2333
0 1 -143 	 0 0.0033 -1.2399
0 1 -142 	 0 0.0033 -1.2465
0 1 -141 	 0 0.0033 -1.253
0 1 -140 	 0 0.0033 -1.25955
0 1 -139 	 0 0.0033 -1.26605
0 1 -138 	 0 0.0033 -1.27255
0 1 -137 	 0 0.00315 -1.2789
0 1 -136 	 0 0.00315 -1.2853
0 1 -135 	 0 0.0031 -1.2916
0 1 -134 	 0 0.0031 -1.2979
0 1 -133 	 0 0.0031 -1.3041
0 1 -132 	 0 0.00315 -1.31035
0 1 -131 	 0 0.00315 -1.3165
0 1 -130 	 0 0.00315 -1.32265
0 1 -129 	 0 0.00295 -1.32875
0 1 -128 	 0 0.00295 -1.33485
0 1 -127 	 0 0.00295 -1.34075
0 1 -126 	 0 0.00295 -1.3467
0 1 -125 	 0 0.003 -1.35265
0 1 -124 	 0 0.003 -1.3585
0 1 -123 	 0 0.003 -1.3644
0 1 -122 	 0 0.0029 -1.3702
0 1 -121 	 0 0.0028 -1.3759
0 1 -120 	 0 0.0028 -1.38155
0 1 -119 	 0 0.00285 -1.38715
0 1 -118 	 0 0.00285 -1.39275
0 1 -117 	 0 0.00285 -1.39835
0 1 -116 	 0 0.00285 -1.4039
